name,brand,w,h,one,two,three,four,nos,media,jobno,category
Mohd Rashid Saif S.M. - FF20 Front,RRP,68.5,62,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Mohd Rashid Saif S.M. - FF20 Back,MLB,68.2,52.2,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Mohd Rashid Saif S.M. - FF20 Front,MLB,68.5,62,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Choithrams Business Avenue,RRP,80.5,35.8,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Choithrams Business Avenue,MLB,41,36,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Choithrams - Business Square ,RRP,81,35,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Choithrams - Business Square ,MLB,81,35,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
NWZ Oud Metha ,RRP,101.2,36.2,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
NWZ Oud Metha ,MLB,61.2,36.2,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
NEW SAFEST WAY SUPERMARKET ,RRP,53,22,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
NEW SAFEST WAY SUPERMARKET ,MLB,53,22,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
ANSAR GALLERY LLC - 100cm floor,RRP,89.9,34.2,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
ANSAR GALLERY LLC - 64cm floor,MLB,53.8,33.8,,,,1,1,Durantrans,233691,Dubai - 2 Header CC + RRP
Emirates Coop Minimart - Oud Metha,RRP,35,15.6,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
Emirates Coop Minimart - Oud Metha,MLB,35,15.6,,,,1,1,Durantrans,233691,Dubai - 2 Header CC + RRP
Choithram Arjan ,RRP,81,34,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Choithram Arjan ,MLB,81,34,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
T.CHOITHRAM & SONS-51-Jumeirah Island Pavillion,RRP,81,36,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
T.CHOITHRAM & SONS-51-Jumeirah Island Pavillion - FF20 Back,RRP,68.2,52.2,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
T.CHOITHRAM & SONS-51-Jumeirah Island Pavillion - FF20 Front,RRP,68.5,62,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Pasons Al Madina - FF20 Back,RRP,68.2,52.2,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Pasons Al Madina - FF20 Front,RRP,68.5,62,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Pasons Al Madina - FF20 Back,MLB,68.2,52.2,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Pasons Al Madina - FF20 Front,MLB,68.5,62,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Ramlah Hypermarket - Aiko,RRP,89.9,34.2,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
Ramlah Hypermarket - Aiko,PL,89.9,34.2,,1,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
Choithrams Al Rais  ,RRP,81,35,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Choithrams Al Rais ,PL,81,35,,1,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Passion Al Madinah - FF20 Back,RRP,68.2,52.2,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Passion Al Madinah  - FF20 Front,RRP,68.5,62,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Passion Al Madinah - FF20 Back,PL,68.2,52.2,,1,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Passion Al Madinah  - FF20 Front,PL,68.5,62,,1,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
NWZ Al Karama 3 Opp Burjuman ,RRP,176.2,36.6,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
NWZ Al Karama 3 Opp Burjuman ,PL,186.2,36.2,,1,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
WEST ZONE SUPERMARKET L.L.C. 21-Al Diyafah-2 (WZ SM) - 64cm floor,RRP,53.8,33.8,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
WEST ZONE SUPERMARKET L.L.C. 21-Al Diyafah-2 (WZ SM) - FF20 Back,PL,68.2,52.2,,1,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
WEST ZONE SUPERMARKET L.L.C. 21-Al Diyafah-2 (WZ SM) - FF20 Front,PL,68.5,62,,1,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Blue mart Al Khail Gate,RRP,200,32,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Blue mart Al Khail Gate,PL,95,32,,1,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Al Madina Plaza ,RRP,35,15.6,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
Al Madina Plaza ,PL,35,15.6,,1,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
Westzone Mankhool - 100cm floor,RRP,89.9,34.2,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
Westzone Mankhool - 100cm floor,PL,89.9,34.2,,1,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
AL MURAGABAT GRO(DEIRA) AL MURAGABAT GRO,RRP,35,15.6,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
AL MURAGABAT GRO(DEIRA) AL MURAGABAT GRO,PL,35,15.6,,1,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
AL NAKHEELAT GRO MURAQABAT - 64cm wall,RRP,53.8,21.5,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
AL NAKHEELAT GRO MURAQABAT - 64cm wall,PL,53.8,21.5,,1,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
BU SUOOD GROCERY,RRP,35,15.6,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
BU SUOOD GROCERY,PL,35,15.6,,1,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
